long
lat
TotalBasinArea
mean_annual_prcp
sd_annual_prcp
mean_tmax
mean_swe
sd_swe
CAT_WILDFIRE_2011
CAT_CONTACT
CAT_EWT
CAT_FUNGICIDE
CAT_IEOF
CAT_PET
CAT_RECHG
CAT_SATOF
CAT_TWI
CAT_WB5100_ANN
CAT_FSTFZ6190
CAT_LSTFZ6190
CAT_MAXP6190
CAT_MAXWD6190
CAT_MINWD6190
CAT_PRSNOW
CAT_CWD
CAT_TMAX7100
CAT_TMIN7100
CAT_CNPY11_BUFF100
CAT_IMPV01_BUFF100
CAT_IMPV06
CAT_INSECTICIDE
CAT_N97
CAT_NEMATICIDE
CAT_P97
CAT_RH
CAT_TAV7100_ANN
CAT_IMPV06_BUFF100
CAT_TILES92
CAT_SILTAVE
CAT_CLAYAVE
CAT_HGD
CAT_HGCD
CAT_HGVAR
CAT_HGA
CAT_HGAD
CAT_HGB
CAT_HGAC
CAT_HGBD
CAT_HGBC
CAT_SANDAVE
CAT_SRL25AG
CAT_SRL35AG
CAT_POPDENS90
CAT_POPDENS10
CAT_SRL45AG
CAT_SRL55AG
CAT_MINP6190
CAT_WDANN
CAT_SALINAVE
CAT_MIRAD_2012
CAT_MIRAD_2002
CAT_NLCD01_52
CAT_NLCD01_71
CAT_NLCD01_81
CAT_NLCD01_82
CAT_NLCD01_90
CAT_NLCD01_95
CAT_NLCD01_11
CAT_NLCD01_12
CAT_NLCD01_21
CAT_NLCD01_22
CAT_NLCD01_23
CAT_NLCD01_24
CAT_NLCD01_31
CAT_NLCD01_41
CAT_NLCD01_42
CAT_BEDPERM_1
CAT_BEDPERM_2
CAT_BEDPERM_3
CAT_BEDPERM_4
CAT_BEDPERM_5
CAT_BEDPERM_6
CAT_BEDPERM_7
CAT_CANALDITCH
CAT_CONNECTOR
CAT_ELEV_MAX
CAT_RDX
CAT_PIPELINE
CAT_STREAM_SLOPE
CAT_STREAM_LENGTH
CAT_STRM_DENS
CAT_STREAMRIVER
CAT_ICEMASS
CAT_LAKEPOND
CAT_PEST219
CAT_PLAYA
CAT_NPDES_MAJ
CAT_NPDES_MAJ_DENS
CAT_RESERVOIR
CAT_SWAMPMARSH
CAT_TOTAL_ROAD_DENS
CAT_ROCKTYPE_100
CAT_ROCKTYPE_200
CAT_ROCKTYPE_300
CAT_ROCKTYPE_400
CAT_ROCKTYPE_500
CAT_ROCKTYPE_600
CAT_KGBI
CAT_KGCLADO
CAT_KGFISH
CAT_NORM_STORAGE2013
CAT_HDENS10
CAT_HGC
CAT_NLCD01_43
CAT_ROCKTYPE_999
CAT_ARTIFICIAL
CAT_BASIN_AREA
CAT_BASIN_SLOPE
CAT_BFI
CAT_DITCHES92
CAT_ET
CAT_ELEV_MEAN
CAT_ELEV_MIN
CAT_ESTUARY
CAT_FRESHWATER_WD
CAT_HERBICIDE
CAT_MAJOR2013
CAT_MIRAD_2007
CAT_NDAMS2013
CAT_NID_STORAGE2013
CAT_OLSON_PERM
CAT_POPDENS00
CAT_PPT7100_ANN
CAT_RUN7100
